,full_path,file_name,dir_path,repo,loginflow,tenantflow,authenflow,authflow,usercreation,tenantcreation,tenantmodifcation,PC1,PC2,PC3,ClusterID,label
0,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/all-files.csv,all-files.csv,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/,saas-platform-ms-tenant-manager,0,0,0,1,0,1,0,-2.1366222399223167,0.03182285439657728,1.1202756014334094,3,authflow
1,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/annotations/Legacy.java,Legacy.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/annotations/,saas-platform-ms-tenant-manager,0,0,1,1,0,1,0,-1.641735444467054,-0.7544870973336775,0.23467781979280838,3,authflow
2,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/BaseInfoModeAllowed.java,BaseInfoModeAllowed.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,0,0,0,1,1,0.16462404760057914,-1.3890944813250954,0.8563324475824965,3,authflow
3,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantSettingKeys.java,TenantSettingKeys.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,1,1,0,1,1,-0.025299374943505093,-2.122200479749153,1.1630676153456498,3,authflow
4,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantStatus.java,TenantStatus.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,0,1,0,0,0,-1.983026381022544,-0.6702858341419601,0.1790030484034077,3,authflow
5,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/Data.java,Data.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/,saas-platform-ms-tenant-manager,0,0,0,1,0,1,0,-2.1366222399223167,0.03182285439657728,1.1202756014334094,3,authflow
6,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/FuzeOptionsResponse.java,FuzeOptionsResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/,saas-platform-ms-tenant-manager,1,0,1,1,0,0,1,-0.32325746824421797,-1.7127096494553355,0.10959751047489419,3,authflow
7,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/Options.java,Options.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/,saas-platform-ms-tenant-manager,1,0,0,0,0,1,1,0.16462404760057914,-1.3890944813250954,0.8563324475824965,3,authflow
8,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/RestTenantContextAwareController.java,RestTenantContextAwareController.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/,saas-platform-ms-tenant-manager,1,0,0,0,0,1,0,-1.0002580697224839,-1.1329806177419746,0.04014020387040912,3,authflow
9,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/PrivilegeInfoSingle.java,PrivilegeInfoSingle.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,1,1,0,1,0,1,0,-0.6194129199843211,-0.6978466610740014,1.1586012984642626,3,authflow
10,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/CreateTenantRequest.java,CreateTenantRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,0,1,0,1,0,-2.1366222399223167,0.03182285439657728,1.1202756014334094,3,authflow
11,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/CreateTenantRequestUserDetails.java,CreateTenantRequestUserDetails.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,1,0,1,1,1,1,0,-0.4821712943953782,-0.5376282290610714,0.37231709118423567,3,authflow
12,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/TenantsMigrationRequest.java,TenantsMigrationRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,1,1,0,0,1,-0.7748114204447039,-0.6011101306229807,-0.0026000413658600063,3,authflow
13,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/ICBusinessUnitValidationResponse.java,ICBusinessUnitValidationResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/,saas-platform-ms-tenant-manager,0,0,0,1,0,0,1,-1.2696982158999666,0.18519982110727412,0.882997740274741,3,authflow
14,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/TenantImpersonationUserResponse.java,TenantImpersonationUserResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/,saas-platform-ms-tenant-manager,1,0,1,1,0,0,1,-0.32325746824421797,-1.7127096494553355,0.10959751047489419,3,authflow
